subset,metric,value,detail
summer_2025,n_city_days,920.0,
summer_2025,n_neg,456.0,
summer_2025,n_pos,464.0,
summer_2025,r_hat_pooled,1.2104613737910728,std ratio
summer_2025,r_hat_robust,1.0798166117565722,mean |z| ratio
summer_2025_atlanta,r_hat,0.49053965748140954,n=92
summer_2025_austin,r_hat,1.4354941491054012,n=92
summer_2025_chicago,r_hat,1.2894413583598918,n=92
summer_2025_dallas,r_hat,1.526323003845958,n=92
summer_2025_houston,r_hat,1.8918133928091703,n=92
summer_2025_los_angeles,r_hat,0.9703797952608205,n=92
summer_2025_miami,r_hat,0.9373681529554622,n=92
summer_2025_new_york,r_hat,0.733642725119842,n=92
summer_2025_san_francisco,r_hat,1.2419267072286087,n=92
summer_2025_seattle,r_hat,1.3395641684477813,n=92
nonsummer_2025,r_hat_pooled,0.9971827266970846,
nonsummer_2025,r_hat_robust,1.0059461982268798,
summer_2025,pit_ks_stat_gaussian,0.04265641556515942,
summer_2025,pit_ks_pvalue_gaussian,0.06829653777947575,
summer_2025,pit_ks_stat_two_piece,0.1030576000552588,ratio=1.2105
summer_2025,pit_ks_pvalue_two_piece,5.832512689041697e-09,ratio=1.2105
summer_2025,coverage_50_gaussian,55.434782608695656,
summer_2025,coverage_50_two_piece,59.78260869565217,ratio=1.2105
summer_2025,coverage_80_gaussian,85.43478260869564,
summer_2025,coverage_80_two_piece,87.71739130434783,ratio=1.2105
summer_2025,coverage_90_gaussian,93.26086956521739,
summer_2025,coverage_90_two_piece,94.78260869565217,ratio=1.2105
nonsummer_2025,pit_ks_stat_gaussian,0.035526571765215065,
nonsummer_2025,pit_ks_pvalue_gaussian,0.0019829132502196096,
nonsummer_2025,pit_ks_stat_two_piece,0.09948765349108504,ratio=1.2105
nonsummer_2025,pit_ks_pvalue_two_piece,5.649875963215714e-24,ratio=1.2105
nonsummer_2025,coverage_50_gaussian,51.64835164835166,
nonsummer_2025,coverage_50_two_piece,54.46886446886447,ratio=1.2105
nonsummer_2025,coverage_80_gaussian,80.0,
nonsummer_2025,coverage_80_two_piece,82.85714285714286,ratio=1.2105
nonsummer_2025,coverage_90_gaussian,88.90109890109889,
nonsummer_2025,coverage_90_two_piece,91.0989010989011,ratio=1.2105
