city,n_dates,earliest_date,latest_date,min_horizon,max_horizon,median_horizon
amsterdam,76,2026-04-03,2026-06-19,0,5,2.0
ankara,119,2026-02-18,2026-06-19,0,6,2.0
atlanta,119,2025-12-30,2026-06-17,0,6,2.0
austin,83,2026-03-24,2026-06-17,0,6,2.0
beijing,89,2026-03-20,2026-06-19,0,6,2.0
buenos_aires,119,2025-12-31,2026-06-17,0,6,2.0
busan,76,2026-04-03,2026-06-19,0,5,2.0
cape_town,68,2026-04-09,2026-06-19,0,2,2.0
chengdu,88,2026-03-20,2026-06-19,0,6,2.0
chicago_midway,117,2026-02-18,2026-06-17,0,6,2.0
chongqing,89,2026-03-20,2026-06-19,0,6,2.0
dallas,120,2025-12-30,2026-06-17,0,6,2.0
denver,83,2026-03-24,2026-06-17,0,6,2.0
guangzhou,63,2026-04-18,2026-06-19,0,2,2.0
helsinki,76,2026-04-03,2026-06-19,0,5,2.0
hong_kong,94,2026-03-13,2026-06-19,0,6,2.0
houston,83,2026-03-24,2026-06-17,0,6,2.0
istanbul,80,2026-03-30,2026-06-19,0,6,2.0
jakarta,47,2026-04-03,2026-05-21,0,5,2.0
jeddah,70,2026-04-09,2026-06-19,0,2,2.0
jinan,3,2026-05-20,2026-05-22,2,2,2.0
karachi,63,2026-04-18,2026-06-19,0,2,2.0
kuala_lumpur,76,2026-04-03,2026-06-19,0,5,2.0
lagos,35,2026-04-09,2026-05-15,0,2,2.0
london,121,2025-12-31,2026-06-19,0,6,2.0
los_angeles,83,2026-03-24,2026-06-17,0,6,2.0
lucknow,104,2026-03-05,2026-06-19,0,6,2.0
madrid,93,2026-03-16,2026-06-19,0,6,2.0
manila,63,2026-04-18,2026-06-19,0,2,2.0
mexico_city,77,2026-03-30,2026-06-17,0,6,2.0
miami,117,2026-02-18,2026-06-17,0,6,2.0
milan,93,2026-03-16,2026-06-19,0,6,2.0
moscow,79,2026-03-30,2026-06-19,0,6,2.0
munich,104,2026-03-05,2026-06-19,0,6,2.0
new_york_city,121,2025-12-30,2026-06-17,0,6,2.0
panama_city,73,2026-04-03,2026-06-17,0,5,2.0
paris,119,2026-02-18,2026-06-19,0,6,2.0
qingdao,54,2026-04-27,2026-06-19,0,2,2.0
san_francisco,83,2026-03-24,2026-06-17,0,6,2.0
sao_paulo,117,2026-02-18,2026-06-17,0,6,2.0
seattle,119,2025-12-31,2026-06-17,1,6,2.0
seoul,121,2025-12-31,2026-06-19,0,6,2.0
shanghai,96,2026-03-13,2026-06-19,0,6,2.0
shenzhen,89,2026-03-20,2026-06-19,0,6,2.0
singapore,96,2026-03-13,2026-06-19,0,6,2.0
taipei,93,2026-03-16,2026-06-19,0,6,2.0
tel_aviv,99,2026-03-10,2026-06-19,0,6,2.0
tokyo,99,2026-03-10,2026-06-19,0,6,2.0
toronto,120,2025-12-31,2026-06-17,0,6,2.0
warsaw,93,2026-03-16,2026-06-19,0,6,2.0
wellington,119,2026-02-18,2026-06-19,0,6,2.0
wuhan,89,2026-03-20,2026-06-19,0,6,2.0
zhengzhou,3,2026-05-20,2026-05-22,2,2,2.0
